,city,geographic_area,share_white_x,share_black_x,share_native_american_x,share_asian_x,share_hispanic_x,share_white_y,share_black_y,share_native_american_y,share_asian_y,share_hispanic_y,median_income,percent_completed_hs,poverty_rate
2159,lincolnville cdp,PA,"97,90","1,00","0,00","0,00","0,00","97,90","1,00","0,00","0,00","0,00","37250,00","100,00","12,80"
2160,linesville borough,PA,"97,20","0,10","0,70","0,10","1,00","97,20","0,10","0,70","0,10","1,00","43333,00","90,20","8,20"
2161,linglestown cdp,PA,"91,10","4,20","0,20","2,00","2,50","91,10","4,20","0,20","2,00","2,50","68719,00","93,20","7,20"
2162,linntown cdp,PA,"94,60","1,50","0,30","1,70","1,80","94,60","1,50","0,30","1,70","1,80","67679,00","97,40","0,80"
2163,linwood cdp,PA,"87,60","8,00","0,10","0,60","3,70","87,60","8,00","0,10","0,60","3,70","55455,00","88,70","14,20"
2164,lionville cdp,PA,"86,80","4,00","0,10","6,50","2,90","86,80","4,00","0,10","6,50","2,90","83810,00","97,30","7,70"
2165,lititz borough,PA,"94,50","1,30","0,20","1,20","3,70","94,50","1,30","0,20","1,20","3,70","52591,00","91,90","7,00"
2166,little meadows borough,PA,"99,30","0,00","0,00","0,40","1,50","99,30","0,00","0,00","0,40","1,50","45469,00","96,50","8,30"
2167,littlestown borough,PA,"96,00","0,90","0,20","0,40","2,50","96,00","0,90","0,20","0,40","2,50","55902,00","89,00","9,30"
2168,liverpool borough,PA,"96,30","0,50","0,10","1,00","0,60","96,30","0,50","0,10","1,00","0,60","46650,00","87,50","11,30"
2169,lock haven city,PA,"92,80","4,20","0,10","1,00","1,90","92,80","4,20","0,10","1,00","1,90","27129,00","83,90","38,30"
2170,locustdale cdp,PA,"99,40","0,00","0,00","0,00","0,60","99,40","0,00","0,00","0,00","0,60","43203,00","76,60","9,60"
2171,loganton borough,PA,"97,00","0,20","0,00","0,00","2,10","97,00","0,20","0,00","0,00","2,10","48125,00","86,70","8,50"
2172,loganville borough,PA,"96,30","1,40","0,00","1,20","0,80","96,30","1,40","0,00","1,20","0,80","67375,00","90,50","6,50"
2173,long branch borough,PA,"98,90","0,70","0,40","0,00","0,00","98,90","0,70","0,40","0,00","0,00","55000,00","92,60","6,60"
2174,longfellow cdp,PA,"100,00","0,00","0,00","0,00","0,00","100,00","0,00","0,00","0,00","0,00","35729,00","79,90","11,10"
2175,lorain borough,PA,"94,70","2,40","0,40","0,30","0,50","94,70","2,40","0,40","0,30","0,50","38173,00","90,70","14,10"
2176,lorane cdp,PA,"93,60","2,30","0,00","1,70","3,70","93,60","2,30","0,00","1,70","3,70","61793,00","89,30","4,60"
2177,loretto borough,PA,"91,20","5,80","0,00","0,90","2,20","91,20","5,80","0,00","0,90","2,20","19250,00","87,80","43,50"
2178,lower allen cdp,PA,"92,60","3,10","0,10","1,70","3,70","92,60","3,10","0,10","1,70","3,70","53234,00","96,60","4,60"
2179,lower burrell city,PA,"97,30","1,10","0,10","0,40","0,50","97,30","1,10","0,10","0,40","0,50","56474,00","94,50","9,00"
2180,loyalhanna cdp,PA,"98,50","0,60","0,10","0,10","0,30","98,50","0,60","0,10","0,10","0,30","43750,00","90,80","16,60"
2181,lucerne mines cdp,PA,"97,10","0,50","0,20","0,10","0,50","97,10","0,50","0,20","0,10","0,50","53490,00","90,00","3,70"
2182,lumber city borough,PA,"100,00","0,00","0,00","0,00","0,00","100,00","0,00","0,00","0,00","0,00","39375,00","93,90","11,50"
2183,lumber city cdp,PA,"99,60","0,00","0,00","0,00","1,20","99,60","0,00","0,00","0,00","1,20","21940,00","83,10","17,70"
2184,luzerne borough,PA,"97,60","0,60","0,20","0,20","2,10","97,60","0,60","0,20","0,20","2,10","34705,00","84,50","20,10"
2185,lykens borough,PA,"96,60","0,10","0,00","1,10","2,20","96,60","0,10","0,00","1,10","2,20","38750,00","79,10","22,20"
2186,lynnwood-pricedale cdp,PA,"96,30","2,00","0,00","0,60","0,50","96,30","2,00","0,00","0,60","0,50","44500,00","93,50","7,30"
2187,lyons borough,PA,"97,30","0,80","0,00","0,80","1,90","97,30","0,80","0,00","0,80","1,90","46771,00","78,90","14,80"
2188,mcadoo borough,PA,"95,40","0,90","0,10","0,30","8,50","95,40","0,90","0,10","0,30","8,50","37500,00","88,10","14,30"
2189,mcalisterville cdp,PA,"98,60","0,40","0,00","0,20","0,90","98,60","0,40","0,00","0,20","0,90","43919,00","77,50","25,30"
2190,mcclure borough,PA,"98,30","0,00","0,00","0,20","1,00","98,30","0,00","0,00","0,20","1,00","41955,00","80,90","11,40"
2191,mcconnellsburg borough,PA,"92,50","4,20","0,20","0,10","0,50","92,50","4,20","0,20","0,10","0,50","36083,00","82,70","13,20"
2192,mcconnellstown cdp,PA,"98,00","0,20","0,30","0,60","0,50","98,00","0,20","0,30","0,60","0,50","55804,00","94,80","8,70"
2193,mcdonald borough,PA,"94,90","3,10","0,20","0,50","1,10","94,90","3,10","0,20","0,50","1,10","45478,00","87,10","12,30"
2194,mcelhattan cdp,PA,"97,70","0,50","0,80","0,00","1,00","97,70","0,50","0,80","0,00","1,00","37273,00","88,30","10,40"
2195,mcewensville borough,PA,"95,30","3,20","0,00","0,40","0,00","95,30","3,20","0,00","0,40","0,00","45179,00","93,60","0,80"
2196,mcgovern cdp,PA,"97,40","1,40","0,10","0,10","0,90","97,40","1,40","0,10","0,10","0,90","63816,00","95,00","3,70"
2197,mckean borough,PA,"96,90","1,30","0,30","0,00","0,30","96,90","1,30","0,30","0,00","0,30","47031,00","95,70","6,00"
2198,mckeansburg cdp,PA,"95,10","0,00","0,00","0,60","3,70","95,10","0,00","0,00","0,60","3,70","60417,00","90,50","18,90"
2199,mckeesport city,PA,"62,30","31,90","0,30","0,30","2,30","62,30","31,90","0,30","0,30","2,30","25697,00","85,70","34,00"
2200,mckees rocks borough,PA,"63,80","30,80","0,20","0,40","1,70","63,80","30,80","0,20","0,40","1,70","28972,00","83,90","21,90"
2201,mcknightstown cdp,PA,"96,50","0,00","0,00","2,20","1,80","96,50","0,00","0,00","2,20","1,80","28793,00","100,00","0,00"
2202,mcmurray cdp,PA,"97,70","0,70","0,00","0,80","1,50","97,70","0,70","0,00","0,80","1,50","101719,00","98,50","2,60"
2203,mcsherrystown borough,PA,"94,60","1,20","0,20","0,80","5,30","94,60","1,20","0,20","0,80","5,30","36456,00","86,50","5,60"
2204,macungie borough,PA,"92,10","1,80","0,20","1,80","5,20","92,10","1,80","0,20","1,80","5,20","53646,00","91,10","6,80"
2205,mcveytown borough,PA,"97,70","0,30","0,00","0,00","1,80","97,70","0,30","0,00","0,00","1,80","40179,00","89,00","17,10"
2206,madison borough,PA,"99,50","0,30","0,00","0,00","0,50","99,50","0,30","0,00","0,00","0,50","55625,00","94,00","4,00"
2207,madisonburg cdp,PA,"100,00","0,00","0,00","0,00","0,00","100,00","0,00","0,00","0,00","0,00","80278,00","80,70","7,50"
2208,mahaffey borough,PA,"99,20","0,00","0,30","0,00","0,00","99,20","0,00","0,30","0,00","0,00","42500,00","91,30","22,00"
2209,mahanoy city borough,PA,"95,30","1,00","0,30","0,30","4,70","95,30","1,00","0,30","0,30","4,70","28874,00","84,20","26,30"
2210,maitland cdp,PA,"97,50","0,80","0,30","0,00","0,00","97,50","0,80","0,30","0,00","0,00","40938,00","92,60","34,40"
2211,malvern borough,PA,"90,00","2,90","0,30","4,20","3,70","90,00","2,90","0,30","4,20","3,70","70825,00","94,30","10,00"
2212,mammoth cdp,PA,"99,20","0,00","0,00","0,00","0,00","99,20","0,00","0,00","0,00","0,00","63750,00","90,30","3,40"
2213,manchester borough,PA,"92,40","3,20","0,00","1,00","3,90","92,40","3,20","0,00","1,00","3,90","51910,00","88,40","5,30"
2214,manheim borough,PA,"95,00","0,90","0,10","1,10","3,40","95,00","0,90","0,10","1,10","3,40","42686,00","90,00","11,40"
2215,manns choice borough,PA,"98,70","0,00","0,00","0,00","1,30","98,70","0,00","0,00","0,00","1,30","40000,00","75,60","18,70"
2216,manor borough,PA,"98,20","0,30","0,00","0,80","0,70","98,20","0,30","0,00","0,80","0,70","73519,00","93,10","7,00"
2217,manorville borough,PA,"98,80","0,50","0,00","0,50","0,20","98,80","0,50","0,00","0,50","0,20","58021,00","96,40","13,60"
2218,mansfield borough,PA,"90,20","5,20","0,20","1,30","3,10","90,20","5,20","0,20","1,30","3,10","38583,00","94,60","24,80"
2219,maple glen cdp,PA,"87,20","2,70","0,10","8,60","2,00","87,20","2,70","0,10","8,60","2,00","118199,00","96,60","1,50"
2220,mapleton borough,PA,"97,50","0,50","0,20","0,00","1,40","97,50","0,50","0,20","0,00","1,40","34444,00","87,30","16,30"
2221,marcus hook borough,PA,"82,30","13,60","0,10","0,10","3,00","82,30","13,60","0,10","0,10","3,00","38049,00","84,00","21,10"
2222,marianna borough,PA,"91,90","3,60","1,00","0,00","0,40","91,90","3,60","1,00","0,00","0,40","35673,00","83,50","33,10"
2223,marianne cdp,PA,"96,60","0,90","0,30","0,90","2,10","96,60","0,90","0,30","0,90","2,10","56875,00","94,30","9,30"
2224,marienville cdp,PA,"50,10","39,60","0,10","0,20","10,30","50,10","39,60","0,10","0,20","10,30","35833,00","74,30","8,30"
2225,marietta borough,PA,"94,20","2,30","0,40","0,20","4,40","94,20","2,30","0,40","0,20","4,40","49531,00","86,90","11,30"
2226,marion cdp,PA,"92,40","1,50","0,10","0,10","7,30","92,40","1,50","0,10","0,10","7,30","50948,00","84,60","45,30"
2227,marion center borough,PA,"98,90","0,40","0,20","0,20","0,00","98,90","0,40","0,20","0,20","0,00","42250,00","92,60","17,30"
2228,marion heights borough,PA,"99,30","0,00","0,00","0,20","0,70","99,30","0,00","0,00","0,20","0,70","35714,00","87,80","19,30"
2229,marklesburg borough,PA,"97,50","0,50","0,00","0,00","0,00","97,50","0,50","0,00","0,00","0,00","50417,00","99,30","10,40"
2230,markleysburg borough,PA,"96,80","2,50","0,00","0,00","0,40","96,80","2,50","0,00","0,00","0,40","47500,00","80,70","6,60"
2231,marlin cdp,PA,"97,40","0,60","0,00","0,20","0,60","97,40","0,60","0,00","0,20","0,60","37375,00","84,40","5,10"
2232,mars borough,PA,"97,30","0,70","0,00","0,80","1,40","97,30","0,70","0,00","0,80","1,40","53977,00","93,90","4,00"
2233,marshallton cdp,PA,"98,10","0,10","0,80","0,20","0,80","98,10","0,10","0,80","0,20","0,80","37721,00","85,10","16,00"
2234,martinsburg borough,PA,"98,60","0,60","0,10","0,10","0,70","98,60","0,60","0,10","0,10","0,70","41781,00","88,20","5,20"
2235,martins creek cdp,PA,"97,80","0,50","0,00","0,30","1,10","97,80","0,50","0,00","0,30","1,10","45962,00","93,50","14,10"
2236,marysville borough,PA,"95,50","1,20","0,00","0,50","2,40","95,50","1,20","0,00","0,50","2,40","48947,00","91,30","7,50"
2237,masontown borough,PA,"91,50","5,40","0,20","0,40","0,90","91,50","5,40","0,20","0,40","0,90","31318,00","90,90","32,40"
2238,masthope cdp,PA,"92,70","4,80","0,70","0,30","8,80","92,70","4,80","0,70","0,30","8,80","53269,00","93,20","1,80"
2239,matamoras borough,PA,"93,30","1,40","0,30","1,80","5,50","93,30","1,40","0,30","1,80","5,50","55913,00","91,90","11,90"
2240,mather cdp,PA,"97,40","1,10","0,40","0,00","1,50","97,40","1,10","0,40","0,00","1,50","32031,00","82,50","15,80"
2241,mattawana cdp,PA,"98,20","0,40","0,00","0,00","0,00","98,20","0,40","0,00","0,00","0,00","41875,00","66,10","18,50"
2242,mayfield borough,PA,"97,70","0,80","0,10","0,40","1,10","97,70","0,80","0,10","0,40","1,10","47292,00","94,60","7,90"
2243,maytown cdp,PA,"94,30","1,70","0,10","0,70","3,70","94,30","1,70","0,10","0,70","3,70","79732,00","98,30","4,70"
2244,meadowlands cdp,PA,"96,50","1,70","0,20","0,00","1,10","96,50","1,70","0,20","0,00","1,10","72558,00","92,80","3,40"
2245,meadowood cdp,PA,"97,70","0,80","0,10","0,50","0,30","97,70","0,80","0,10","0,50","0,30","58264,00","90,80","8,80"
2246,meadville city,PA,"90,60","5,00","0,20","1,10","1,70","90,60","5,00","0,20","1,10","1,70","32468,00","87,70","23,90"
2247,mechanicsburg borough,PA,"92,30","2,20","0,30","1,80","3,50","92,30","2,20","0,30","1,80","3,50","59722,00","90,60","6,00"
2248,mechanicsville borough,PA,"98,20","0,20","0,00","0,90","2,40","98,20","0,20","0,00","0,90","2,40","45417,00","88,90","6,80"
2249,media borough,PA,"83,40","10,60","0,00","3,50","2,50","83,40","10,60","0,00","3,50","2,50","63348,00","94,90","9,40"
2250,mercer borough,PA,"97,10","1,00","0,10","0,40","0,80","97,10","1,00","0,10","0,40","0,80","46827,00","89,40","12,00"
2251,mercersburg borough,PA,"91,90","4,90","0,10","0,40","2,90","91,90","4,90","0,10","0,40","2,90","40850,00","80,50","10,90"
2252,meridian cdp,PA,"98,20","0,40","0,10","0,20","1,10","98,20","0,40","0,10","0,20","1,10","60852,00","95,30","3,40"
2253,mertztown cdp,PA,"97,40","0,20","0,30","0,60","2,30","97,40","0,20","0,30","0,60","2,30","55426,00","77,00","11,30"
2254,meshoppen borough,PA,"89,20","3,70","0,70","0,70","10,10","89,20","3,70","0,70","0,70","10,10","41250,00","75,20","23,70"
2255,mexico cdp,PA,"99,20","0,40","0,00","0,20","1,30","99,20","0,40","0,00","0,20","1,30","47578,00","81,30","14,60"
2256,meyersdale borough,PA,"98,80","0,10","0,10","0,20","0,30","98,80","0,10","0,10","0,20","0,30","39279,00","82,70","15,80"
2257,middleburg borough,PA,"96,90","1,20","0,40","0,10","0,80","96,90","1,20","0,40","0,10","0,80","38456,00","84,20","21,20"
2258,middleport borough,PA,"98,80","1,00","0,00","0,00","0,00","98,80","1,00","0,00","0,00","0,00","48393,00","84,60","6,30"
2259,middletown borough,PA,"83,60","8,30","0,10","1,80","5,70","83,60","8,30","0,10","1,80","5,70","40789,00","87,20","15,80"
2260,middletown cdp,PA,"89,30","3,90","0,10","1,60","9,60","89,30","3,90","0,10","1,60","9,60","70125,00","89,50","4,10"
2261,midland borough,PA,"74,40","20,30","0,30","0,30","4,30","74,40","20,30","0,30","0,30","4,30","22907,00","77,90","36,90"
2262,midway cdp,PA,"96,90","0,30","0,10","0,20","3,30","96,90","0,30","0,10","0,20","3,30","50294,00","90,40","5,10"
2263,midway borough,PA,"98,50","0,70","0,10","0,10","0,50","98,50","0,70","0,10","0,10","0,50","53438,00","89,70","14,60"
2264,mifflin borough,PA,"88,80","0,30","0,30","0,00","13,90","88,80","0,30","0,30","0,00","13,90","41667,00","79,40","13,30"
2265,mifflinburg borough,PA,"98,30","0,60","0,00","0,30","0,90","98,30","0,60","0,00","0,30","0,90","44050,00","88,30","12,90"
2266,mifflintown borough,PA,"87,40","0,60","0,70","0,40","16,90","87,40","0,60","0,70","0,40","16,90","39531,00","84,10","15,50"
2267,mifflinville cdp,PA,"98,50","0,20","0,00","0,00","2,10","98,50","0,20","0,00","0,00","2,10","52829,00","86,50","10,20"
2268,milesburg borough,PA,"98,70","0,40","0,10","0,40","0,30","98,70","0,40","0,10","0,40","0,30","52708,00","91,90","22,70"
2269,milford borough,PA,"95,20","0,60","0,50","0,50","5,50","95,20","0,60","0,50","0,50","5,50","55375,00","93,40","8,80"
2270,milford square cdp,PA,"96,10","1,20","0,10","0,70","1,60","96,10","1,20","0,10","0,70","1,60","85190,00","100,00","0,00"
2271,millbourne borough,PA,"13,70","20,10","0,60","56,30","8,50","13,70","20,10","0,60","56,30","8,50","35000,00","78,70","29,10"
2272,mill creek borough,PA,"97,90","0,30","0,30","0,90","0,00","97,90","0,30","0,30","0,90","0,00","27500,00","81,40","15,50"
2273,millersburg borough,PA,"97,60","1,20","0,10","0,20","1,20","97,60","1,20","0,10","0,20","1,20","38941,00","81,60","9,90"
2274,millerstown borough,PA,"97,50","0,00","0,40","0,30","2,10","97,50","0,00","0,40","0,30","2,10","64167,00","95,00","11,50"
2275,millersville borough,PA,"90,90","5,00","0,20","1,20","4,30","90,90","5,00","0,20","1,20","4,30","44808,00","92,30","22,00"
2276,millerton cdp,PA,"97,20","0,60","0,00","0,60","0,00","97,20","0,60","0,00","0,60","0,00","47045,00","92,50","11,50"
2277,mill hall borough,PA,"98,20","0,30","0,10","0,70","0,50","98,20","0,30","0,10","0,70","0,50","40511,00","87,50","14,50"
2278,millheim borough,PA,"98,20","0,10","0,10","0,00","0,20","98,20","0,10","0,10","0,00","0,20","53646,00","89,40","5,00"
2279,millsboro cdp,PA,"97,40","0,60","0,00","0,00","0,20","97,40","0,60","0,00","0,00","0,20","49375,00","96,20","23,60"
2280,millvale borough,PA,"93,10","3,80","0,30","0,20","1,40","93,10","3,80","0,30","0,20","1,40","30388,00","88,90","26,10"
2281,mill village borough,PA,"97,30","0,20","0,00","0,50","0,00","97,30","0,20","0,00","0,50","0,00","46625,00","94,90","17,10"
2282,millville borough,PA,"97,90","0,70","0,00","0,30","1,30","97,90","0,70","0,00","0,30","1,30","40556,00","85,70","14,90"
2283,millwood cdp,PA,"98,10","1,10","0,00","0,40","1,20","98,10","1,10","0,00","0,40","1,20","26923,00","65,10","40,20"
2284,milroy cdp,PA,"98,00","0,10","0,10","0,50","0,50","98,00","0,10","0,10","0,50","0,50","50000,00","84,90","11,60"
2285,milton borough,PA,"91,10","2,90","0,20","0,70","6,20","91,10","2,90","0,20","0,70","6,20","38520,00","83,40","16,90"
2286,minersville borough,PA,"95,60","1,40","0,20","0,60","2,50","95,60","1,40","0,20","0,60","2,50","34825,00","82,60","16,80"
2287,mingoville cdp,PA,"99,60","0,00","0,00","0,20","0,60","99,60","0,00","0,00","0,20","0,60","36932,00","100,00","5,20"
2288,mocanaqua cdp,PA,"93,70","0,80","0,60","0,90","2,00","93,70","0,80","0,60","0,90","2,00","42448,00","85,50","18,20"
2289,modena borough,PA,"63,20","22,60","0,20","0,60","17,40","63,20","22,60","0,20","0,60","17,40","47266,00","66,50","25,40"
2290,mohnton borough,PA,"94,50","1,70","0,20","0,70","4,90","94,50","1,70","0,20","0,70","4,90","55098,00","92,40","8,10"
2291,mohrsville cdp,PA,"92,70","1,30","0,30","3,70","2,30","92,70","1,30","0,30","3,70","2,30","60074,00","86,40","8,60"
2292,monaca borough,PA,"95,40","2,10","0,10","0,40","1,20","95,40","2,10","0,10","0,40","1,20","41239,00","90,90","11,20"
2293,monessen city,PA,"80,60","14,90","0,10","0,30","1,80","80,60","14,90","0,10","0,30","1,80","35447,00","90,00","17,80"
2294,monongahela city,PA,"94,60","2,60","0,30","0,50","1,10","94,60","2,60","0,30","0,50","1,10","45150,00","89,00","17,90"
2295,monroe borough,PA,"98,00","0,90","0,50","0,20","2,20","98,00","0,90","0,50","0,20","2,20","60750,00","95,80","12,50"
2296,monroeville municipality,PA,"79,50","11,70","0,20","5,90","1,50","79,50","11,70","0,20","5,90","1,50","58778,00","94,40","8,10"
2297,mont alto borough,PA,"92,90","4,00","0,20","0,70","2,10","92,90","4,00","0,20","0,70","2,10","63750,00","89,40","11,30"
2298,montandon cdp,PA,"97,90","0,80","0,00","0,20","1,30","97,90","0,80","0,00","0,20","1,30","37212,00","85,80","22,90"
2299,montgomery borough,PA,"95,90","1,20","0,30","0,10","2,10","95,90","1,20","0,30","0,10","2,10","46538,00","91,10","12,40"
2300,montgomeryville cdp,PA,"79,00","4,50","0,10","14,60","2,30","79,00","4,50","0,10","14,60","2,30","104276,00","97,30","5,20"
2301,montoursville borough,PA,"97,30","0,40","0,10","0,70","1,30","97,30","0,40","0,10","0,70","1,30","47473,00","93,90","7,20"
2302,montrose borough,PA,"98,80","0,20","0,10","0,10","1,10","98,80","0,20","0,10","0,10","1,10","42417,00","95,20","10,30"
2303,montrose manor cdp,PA,"94,20","1,80","0,00","1,50","7,50","94,20","1,80","0,00","1,50","7,50","48438,00","92,20","12,20"
2304,moosic borough,PA,"95,30","1,00","0,10","1,80","3,70","95,30","1,00","0,10","1,80","3,70","51250,00","86,90","10,20"
2305,morgantown cdp,PA,"94,40","0,20","0,10","2,30","2,50","94,40","0,20","0,10","2,30","2,50","51859,00","80,20","0,60"
2306,morrisdale cdp,PA,"97,30","0,70","1,10","0,00","0,40","97,30","0,70","1,10","0,00","0,40","49423,00","77,20","9,30"
2307,morrisville borough,PA,"75,70","15,40","0,30","2,00","10,20","75,70","15,40","0,30","2,00","10,20","61615,00","91,50","7,00"
2308,morrisville cdp,PA,"96,00","1,70","0,60","0,80","1,50","96,00","1,70","0,60","0,80","1,50","43859,00","93,60","8,60"
2309,morton borough,PA,"65,10","25,40","0,30","6,00","2,20","65,10","25,40","0,30","6,00","2,20","51125,00","89,70","8,20"
2310,moscow borough,PA,"97,90","0,30","0,00","0,90","1,70","97,90","0,30","0,00","0,90","1,70","81500,00","95,50","7,30"
2311,moshannon cdp,PA,"99,60","0,00","0,00","0,40","0,00","99,60","0,00","0,00","0,40","0,00","50938,00","83,20","13,00"
2312,mount aetna cdp,PA,"94,10","1,10","1,10","0,00","3,40","94,10","1,10","1,10","0,00","3,40","42448,00","75,80","0,00"
2313,mountainhome cdp,PA,"91,70","2,90","0,30","0,80","4,80","91,70","2,90","0,30","0,80","4,80","67933,00","89,30","27,80"
2314,mountain top cdp,PA,"93,70","0,80","0,10","3,60","2,20","93,70","0,80","0,10","3,60","2,20","70740,00","95,90","5,10"
2315,mount carbon borough,PA,"91,20","3,30","0,00","2,20","1,10","91,20","3,30","0,00","2,20","1,10","38750,00","94,70","4,50"
2316,mount carmel borough,PA,"97,30","0,60","0,20","0,40","1,50","97,30","0,60","0,20","0,40","1,50","32025,00","85,80","18,10"
2317,mount cobb cdp,PA,"98,50","0,30","0,10","0,40","0,80","98,50","0,30","0,10","0,40","0,80","57083,00","91,60","8,00"
2318,mount eagle cdp,PA,"99,00","0,00","1,00","0,00","0,00","99,00","0,00","1,00","0,00","0,00","43750,00","96,70","2,70"
2319,mount gretna borough,PA,"99,00","0,00","0,00","0,00","0,50","99,00","0,00","0,00","0,00","0,50","118059,00","99,10","0,00"
2320,mount gretna heights cdp,PA,"98,10","0,00","0,00","0,60","3,10","98,10","0,00","0,00","0,60","3,10","55583,00","100,00","17,50"
2321,mount holly springs borough,PA,"92,40","2,80","0,20","0,30","4,50","92,40","2,80","0,20","0,30","4,50","50703,00","88,60","7,20"
2322,mount jewett borough,PA,"99,10","0,00","0,30","0,00","1,00","99,10","0,00","0,30","0,00","1,00","42500,00","87,40","21,20"
2323,mount joy borough,PA,"91,90","2,50","0,30","0,80","7,40","91,90","2,50","0,30","0,80","7,40","53900,00","91,40","11,10"
2324,mount morris cdp,PA,"98,90","0,30","0,30","0,00","0,00","98,90","0,30","0,30","0,00","0,00","58750,00","87,50","4,70"
2325,mount oliver borough,PA,"61,40","32,90","0,30","1,10","1,90","61,40","32,90","0,30","1,10","1,90","28155,00","79,70","36,60"
2326,mount penn borough,PA,"84,30","4,30","0,50","1,30","14,10","84,30","4,30","0,50","1,30","14,10","47750,00","90,80","11,20"
2327,mount pleasant borough,PA,"97,10","1,70","0,10","0,10","0,70","97,10","1,70","0,10","0,10","0,70","42583,00","91,40","15,20"
2328,mount pleasant mills cdp,PA,"98,30","0,40","0,40","0,00","0,00","98,30","0,40","0,40","0,00","0,00","49500,00","88,90","9,30"
2329,mount pocono borough,PA,"66,70","19,90","0,70","2,50","17,70","66,70","19,90","0,70","2,50","17,70","43705,00","86,80","13,50"
2330,mount union borough,PA,"84,40","10,40","0,10","0,20","1,70","84,40","10,40","0,10","0,20","1,70","28271,00","87,70","30,30"
2331,mountville borough,PA,"90,00","3,90","0,10","2,30","5,20","90,00","3,90","0,10","2,30","5,20","53036,00","92,60","6,50"
2332,mount wolf borough,PA,"95,00","1,00","0,10","0,60","3,20","95,00","1,00","0,10","0,60","3,20","56406,00","86,70","7,80"
2333,muhlenberg park cdp,PA,"93,30","2,60","0,10","0,10","8,70","93,30","2,60","0,10","0,10","8,70","49452,00","87,90","6,30"
2334,muncy borough,PA,"97,00","0,20","0,40","1,00","1,70","97,00","0,20","0,40","1,00","1,70","48413,00","90,30","9,70"
2335,mundys corner cdp,PA,"99,60","0,00","0,00","0,00","0,00","99,60","0,00","0,00","0,00","0,00","43050,00","93,70","12,40"
2336,munhall borough,PA,"87,50","9,50","0,10","1,00","1,50","87,50","9,50","0,10","1,00","1,50","47756,00","93,00","8,70"
2337,murrysville municipality,PA,"93,70","0,80","0,10","4,40","1,00","93,70","0,80","0,10","4,40","1,00","90703,00","96,50","4,50"
2338,muse cdp,PA,"96,50","1,40","0,20","1,00","0,60","96,50","1,40","0,20","1,00","0,60","88833,00","93,70","1,90"
2339,myerstown borough,PA,"96,60","1,00","0,10","0,60","2,40","96,60","1,00","0,10","0,60","2,40","46892,00","90,20","7,30"
2340,nanticoke city,PA,"95,90","1,60","0,10","0,40","2,60","95,90","1,60","0,10","0,40","2,60","35481,00","88,10","23,80"
2341,nanty-glo borough,PA,"98,20","0,40","0,00","0,10","0,90","98,20","0,40","0,00","0,10","0,90","37466,00","83,40","18,80"
2342,narberth borough,PA,"90,40","1,90","0,00","4,40","2,40","90,40","1,90","0,00","4,40","2,40","89821,00","97,70","4,10"
2343,nazareth borough,PA,"96,60","0,90","0,20","0,70","2,70","96,60","0,90","0,20","0,70","2,70","53794,00","88,30","8,20"
2344,needmore cdp,PA,"98,20","0,00","0,00","0,00","0,60","98,20","0,00","0,00","0,00","0,60","44167,00","71,10","0,00"
2345,nemacolin cdp,PA,"98,10","0,50","0,20","0,10","0,40","98,10","0,50","0,20","0,10","0,40","31163,00","87,40","8,70"
2346,nescopeck borough,PA,"98,60","0,30","0,10","0,30","2,20","98,60","0,30","0,10","0,30","2,20","41863,00","86,90","16,20"
2347,nesquehoning borough,PA,"96,70","1,20","0,20","0,10","2,40","96,70","1,20","0,20","0,10","2,40","38887,00","86,80","19,20"
2348,new albany borough,PA,"98,30","0,60","0,00","0,00","2,80","98,30","0,60","0,00","0,00","2,80","41875,00","89,00","30,80"
2349,new alexandria borough,PA,"96,10","0,90","0,00","1,60","0,00","96,10","0,90","0,00","1,60","0,00","52065,00","96,40","0,90"
2350,new baltimore borough,PA,"100,00","0,00","0,00","0,00","0,00","100,00","0,00","0,00","0,00","0,00","42708,00","93,90","4,20"
2351,new beaver borough,PA,"98,20","0,80","0,10","0,20","0,40","98,20","0,80","0,10","0,20","0,40","43125,00","90,10","11,80"
2352,new bedford cdp,PA,"99,00","0,40","0,00","0,10","1,00","99,00","0,40","0,00","0,10","1,00","49009,00","94,60","3,90"
2353,new berlin borough,PA,"99,10","0,20","0,10","0,20","0,20","99,10","0,20","0,10","0,20","0,20","52375,00","93,30","9,50"
2354,new berlinville cdp,PA,"96,90","0,10","0,10","0,30","0,90","96,90","0,10","0,10","0,30","0,90","68125,00","93,40","2,50"
2355,new bethlehem borough,PA,"99,40","0,10","0,10","0,10","0,10","99,40","0,10","0,10","0,10","0,10","28542,00","85,20","18,50"
2356,new brighton borough,PA,"84,00","10,70","0,30","0,10","1,50","84,00","10,70","0,30","0,10","1,50","34688,00","89,60","18,60"
2357,new britain borough,PA,"94,30","1,60","0,20","1,30","2,70","94,30","1,60","0,20","1,30","2,70","71791,00","97,10","6,90"
2358,new buffalo borough,PA,"96,10","2,30","0,00","0,00","0,80","96,10","2,30","0,00","0,00","0,80","47917,00","71,60","8,10"
2359,newburg borough (clearfield county),PA,"100,00","0,00","0,00","0,00","0,00","100,00","0,00","0,00","0,00","0,00","31250,00","61,30","10,10"
2360,newburg borough (cumberland county),PA,"98,80","0,00","0,30","0,00","0,90","98,80","0,00","0,30","0,00","0,90","51875,00","91,90","4,30"
2361,new castle city,PA,"83,20","12,20","0,10","0,40","1,60","83,20","12,20","0,10","0,40","1,60","30422,00","86,20","28,00"
