,city,geographic_area,share_white_x,share_black_x,share_native_american_x,share_asian_x,share_hispanic_x,share_white_y,share_black_y,share_native_american_y,share_asian_y,share_hispanic_y,median_income,percent_completed_hs,poverty_rate
701,lucas valley-marinwood cdp,CA,"85,70","1,10","0,30","7,00","7,30","85,70","1,10","0,30","7,00","7,30","117071,00","95,50","6,80"
702,lucerne cdp,CA,"84,20","2,00","3,40","0,80","12,00","84,20","2,00","3,40","0,80","12,00","23059,00","75,40","39,00"
703,lucerne valley cdp,CA,"77,60","2,90","1,80","1,50","24,90","77,60","2,90","1,80","1,50","24,90","26429,00","86,50","22,90"
704,lynwood city,CA,"39,30","10,30","0,70","0,70","86,60","39,30","10,30","0,70","0,70","86,60","43109,00","52,80","25,30"
705,lytle creek cdp,CA,"86,40","0,90","1,00","3,30","14,00","86,40","0,90","1,00","3,30","14,00","48646,00","90,80","6,40"
706,mcarthur cdp,CA,"64,20","0,00","4,40","0,00","35,20","64,20","0,00","4,40","0,00","35,20","43478,00","100,00","15,20"
707,mcclellan park cdp,CA,"62,90","13,30","1,70","3,60","14,80","62,90","13,30","1,70","3,60","14,80","16938,00","80,50","59,60"
708,mccloud cdp,CA,"94,40","0,70","0,90","0,50","5,90","94,40","0,70","0,90","0,50","5,90","38068,00","92,40","21,90"
709,macdoel cdp,CA,"42,90","0,00","4,50","0,00","58,60","42,90","0,00","4,50","0,00","58,60","35625,00","31,00","15,20"
710,mcfarland city,CA,"42,80","1,90","1,30","0,70","91,50","42,80","1,90","1,30","0,70","91,50","34032,00","44,40","36,80"
711,mckinleyville cdp,CA,"85,70","0,70","4,60","1,40","7,10","85,70","0,70","4,60","1,40","7,10","50286,00","90,50","13,90"
712,mckittrick cdp,CA,"87,80","0,90","0,90","0,00","7,80","87,80","0,90","0,90","0,00","7,80","40000,00","78,80","6,10"
713,mcswain cdp,CA,"76,60","1,30","0,80","6,80","25,90","76,60","1,30","0,80","6,80","25,90","100156,00","83,30","8,10"
714,madera city,CA,"49,90","3,40","3,10","2,20","76,70","49,90","3,40","3,10","2,20","76,70","40457,00","58,20","27,60"
715,madera acres cdp,CA,"63,70","2,60","1,80","1,20","65,30","63,70","2,60","1,80","1,20","65,30","61573,00","76,90","13,30"
716,madison cdp,CA,"44,50","0,20","1,60","0,60","76,30","44,50","0,20","1,60","0,60","76,30","55156,00","72,10","3,60"
717,mad river cdp,CA,"91,20","0,20","2,60","0,20","5,00","91,20","0,20","2,60","0,20","5,00","33947,00","93,60","29,90"
718,magalia cdp,CA,"91,90","0,40","1,20","0,80","6,80","91,90","0,40","1,20","0,80","6,80","41289,00","89,20","17,90"
719,malaga cdp,CA,"44,10","1,30","1,60","1,20","94,10","44,10","1,30","1,60","1,20","94,10","39837,00","49,00","31,70"
720,malibu city,CA,"91,50","1,20","0,20","2,60","6,10","91,50","1,20","0,20","2,60","6,10","119659,00","97,70","10,50"
721,mammoth lakes town,CA,"80,70","0,40","0,60","1,60","33,70","80,70","0,40","0,60","1,60","33,70","55799,00","82,30","3,80"
722,manchester cdp,CA,"77,40","0,00","2,10","0,50","24,60","77,40","0,00","2,10","0,50","24,60","36250,00","79,80","7,10"
723,manhattan beach city,CA,"84,50","0,80","0,20","8,60","6,90","84,50","0,80","0,20","8,60","6,90","143527,00","97,80","4,00"
724,manila cdp,CA,"87,50","1,80","3,20","0,60","3,80","87,50","1,80","3,20","0,60","3,80","32566,00","97,00","14,50"
725,manteca city,CA,"62,40","4,30","1,10","7,10","37,70","62,40","4,30","1,10","7,10","37,70","62364,00","82,50","12,10"
726,manton cdp,CA,"89,90","0,00","5,80","0,30","10,10","89,90","0,00","5,80","0,30","10,10","31750,00","88,50","42,30"
727,march arb cdp,CA,"70,00","14,80","0,90","3,00","14,80","70,00","14,80","0,90","3,00","14,80","68750,00","89,80","22,40"
728,maricopa city,CA,"83,00","0,10","2,30","1,40","20,10","83,00","0,10","2,30","1,40","20,10","28947,00","77,60","36,10"
729,marina city,CA,"45,20","7,50","0,70","19,90","27,20","45,20","7,50","0,70","19,90","27,20","54193,00","83,10","15,30"
730,marina del rey cdp,CA,"79,80","5,20","0,30","8,40","7,70","79,80","5,20","0,30","8,40","7,70","100195,00","97,20","13,00"
731,marin city cdp,CA,"38,90","38,10","0,60","10,80","13,70","38,90","38,10","0,60","10,80","13,70","40321,00","82,60","33,40"
732,mariposa cdp,CA,"87,20","0,50","4,80","1,40","9,90","87,20","0,50","4,80","1,40","9,90","38472,00","78,00","33,30"
733,markleeville cdp,CA,"91,40","0,00","1,90","1,00","5,20","91,40","0,00","1,90","1,00","5,20","51250,00","89,20","10,20"
734,martinez city,CA,"77,10","3,60","0,70","8,00","14,70","77,10","3,60","0,70","8,00","14,70","87959,00","93,30","6,10"
735,marysville city,CA,"71,00","4,30","2,50","4,10","24,20","71,00","4,30","2,50","4,10","24,20","34566,00","81,40","28,60"
736,matheny cdp,CA,"53,70","3,60","2,00","0,30","73,40","53,70","3,60","2,00","0,30","73,40","30565,00","44,70","36,80"
737,mather cdp,CA,"55,70","8,80","0,90","19,10","15,80","55,70","8,80","0,90","19,10","15,80","79784,00","89,70","6,70"
738,maxwell cdp,CA,"66,50","1,00","1,30","0,80","51,70","66,50","1,00","1,30","0,80","51,70","46944,00","73,40","9,70"
739,mayfair cdp,CA,"44,20","3,70","2,20","6,80","65,60","44,20","3,70","2,20","6,80","65,60","46732,00","62,20","29,90"
740,mayflower village cdp,CA,"53,10","1,50","0,50","31,40","27,60","53,10","1,50","0,50","31,40","27,60","65395,00","87,80","7,20"
741,maywood city,CA,"52,00","0,60","0,80","0,30","97,40","52,00","0,60","0,80","0,30","97,40","35582,00","41,20","30,10"
742,meadowbrook cdp,CA,"63,90","4,10","0,60","1,60","55,40","63,90","4,10","0,60","1,60","55,40","39567,00","71,20","35,00"
743,meadow valley cdp,CA,"93,80","0,00","2,80","0,00","4,50","93,80","0,00","2,80","0,00","4,50","47891,00","97,50","31,10"
744,meadow vista cdp,CA,"93,80","0,00","0,70","1,10","5,30","93,80","0,00","0,70","1,10","5,30","77228,00","94,10","5,40"
745,mead valley cdp,CA,"45,30","8,20","1,00","1,40","72,40","45,30","8,20","1,00","1,40","72,40","40551,00","55,50","33,40"
746,mecca cdp,CA,"31,30","0,50","0,50","0,20","98,70","31,30","0,50","0,50","0,20","98,70","26047,00","28,80","43,10"
747,meiners oaks cdp,CA,"78,10","0,40","1,60","1,40","29,90","78,10","0,40","1,60","1,40","29,90","74375,00","72,30","17,30"
748,mendocino cdp,CA,"93,30","0,60","0,90","1,50","4,70","93,30","0,60","0,90","1,50","4,70","50951,00","91,60","6,70"
749,mendota city,CA,"52,90","1,00","1,40","0,70","96,60","52,90","1,00","1,40","0,70","96,60","25862,00","30,50","46,50"
750,menifee city,CA,"71,50","5,00","0,80","4,90","33,00","71,50","5,00","0,80","4,90","33,00","55985,00","85,90","12,10"
751,menlo park city,CA,"70,20","4,80","0,50","9,90","18,40","70,20","4,80","0,50","9,90","18,40","121816,00","92,30","7,80"
752,mentone cdp,CA,"70,10","5,00","1,40","4,00","35,40","70,10","5,00","1,40","4,00","35,40","55781,00","89,10","9,90"
753,merced city,CA,"52,20","6,30","1,50","11,80","49,60","52,20","6,30","1,50","11,80","49,60","37627,00","74,50","31,90"
754,meridian cdp,CA,"74,90","0,60","2,00","0,00","23,70","74,90","0,60","2,00","0,00","23,70","56250,00","76,00","16,70"
755,mesa cdp,CA,"87,60","0,00","4,00","1,20","10,40","87,60","0,00","4,00","1,20","10,40","100500,00","90,90","4,70"
756,mesa verde cdp,CA,"57,60","0,80","0,90","0,40","69,90","57,60","0,80","0,90","0,40","69,90","31912,00","50,20","23,30"
757,mesa vista cdp,CA,"89,00","0,00","7,50","1,00","5,50","89,00","0,00","7,50","1,00","5,50","51875,00","92,70","20,70"
758,mettler cdp,CA,"54,40","0,00","0,00","0,00","80,10","54,40","0,00","0,00","0,00","80,10","40000,00","23,40","21,30"
759,mexican colony cdp,CA,"57,70","0,00","5,30","0,00","80,80","57,70","0,00","5,30","0,00","80,80","16875,00","36,40","83,10"
760,midway city cdp,CA,"34,00","0,80","0,80","47,10","29,10","34,00","0,80","0,80","47,10","29,10","44425,00","72,50","22,20"
761,milford cdp,CA,"89,80","0,60","0,60","0,60","6,60","89,80","0,60","0,60","0,60","6,60","115260,00","100,00","0,00"
762,millbrae city,CA,"47,30","0,80","0,20","42,80","11,90","47,30","0,80","0,20","42,80","11,90","93777,00","92,60","6,50"
763,mill valley city,CA,"88,80","0,80","0,20","5,40","4,50","88,80","0,80","0,20","5,40","4,50","143005,00","97,80","3,30"
764,millville cdp,CA,"92,60","0,00","0,80","0,80","6,90","92,60","0,00","0,80","0,80","6,90","64028,00","91,70","10,30"
765,milpitas city,CA,"20,50","2,90","0,50","62,20","16,80","20,50","2,90","0,50","62,20","16,80","100242,00","86,60","8,20"
766,mineral cdp,CA,"93,50","0,00","0,80","0,80","3,30","93,50","0,00","0,80","0,80","3,30","45625,00","100,00","10,10"
767,mira monte cdp,CA,"87,40","0,60","0,90","1,90","18,30","87,40","0,60","0,90","1,90","18,30","61150,00","90,60","13,40"
768,miranda cdp,CA,"84,40","0,80","2,50","0,80","14,40","84,40","0,80","2,50","0,80","14,40","35417,00","88,20","37,10"
769,mission canyon cdp,CA,"92,10","0,60","0,70","1,70","8,30","92,10","0,60","0,70","1,70","8,30","120227,00","97,00","3,60"
770,mission hills cdp,CA,"75,20","2,50","2,10","3,50","31,80","75,20","2,50","2,10","3,50","31,80","83234,00","86,80","5,80"
771,mission viejo city,CA,"79,80","1,30","0,40","9,10","17,00","79,80","1,30","0,40","9,10","17,00","100366,00","93,80","5,40"
772,mi-wuk village cdp,CA,"92,60","0,50","1,80","0,30","7,50","92,60","0,50","1,80","0,30","7,50","54758,00","90,40","11,20"
773,modesto city,CA,"65,00","4,20","1,20","6,70","35,50","65,00","4,20","1,20","6,70","35,50","48577,00","81,20","20,50"
774,mojave cdp,CA,"56,20","15,10","1,30","1,30","37,60","56,20","15,10","1,30","1,30","37,60","36250,00","72,60","31,10"
775,mokelumne hill cdp,CA,"88,40","0,50","1,90","0,60","10,20","88,40","0,50","1,90","0,60","10,20","61890,00","100,00","29,00"
776,monmouth cdp,CA,"53,90","3,90","0,70","3,30","70,40","53,90","3,90","0,70","3,30","70,40","30625,00","56,90","4,80"
777,mono vista cdp,CA,"89,40","0,20","1,90","1,20","9,60","89,40","0,20","1,90","1,20","9,60","53596,00","91,80","13,60"
778,monrovia city,CA,"59,90","6,80","0,80","11,20","38,40","59,90","6,80","0,80","11,20","38,40","70358,00","88,80","10,10"
779,montague city,CA,"86,70","0,30","4,60","0,60","7,40","86,70","0,30","4,60","0,60","7,40","46591,00","91,30","21,20"
780,montalvin manor cdp,CA,"45,00","7,70","1,30","10,60","62,60","45,00","7,70","1,30","10,60","62,60","66467,00","72,50","8,10"
781,montara cdp,CA,"85,60","0,60","0,70","4,90","11,10","85,60","0,60","0,70","4,90","11,10","123194,00","96,20","3,60"
782,montclair city,CA,"52,70","5,20","1,20","9,30","70,20","52,70","5,20","1,20","9,30","70,20","49366,00","70,10","16,90"
783,montebello city,CA,"53,80","0,90","1,00","11,00","79,30","53,80","0,90","1,00","11,00","79,30","45875,00","71,70","14,00"
784,montecito cdp,CA,"92,20","0,60","0,40","2,40","6,70","92,20","0,60","0,40","2,40","6,70","136619,00","97,50","7,00"
785,monterey city,CA,"78,30","2,80","0,50","7,90","13,70","78,30","2,80","0,50","7,90","13,70","66166,00","94,30","9,10"
786,monterey park city,CA,"19,40","0,40","0,40","66,90","26,90","19,40","0,40","0,40","66,90","26,90","54097,00","78,70","17,30"
787,monte rio cdp,CA,"90,90","0,90","0,50","1,00","6,90","90,90","0,90","0,50","1,00","6,90","32763,00","95,60","26,00"
788,monte sereno city,CA,"80,80","0,40","0,40","13,90","4,80","80,80","0,40","0,40","13,90","4,80","193482,00","98,90","3,40"
789,montgomery creek cdp,CA,"71,80","1,20","9,80","0,00","11,00","71,80","1,20","9,80","0,00","11,00","57386,00","100,00","3,20"
790,monument hills cdp,CA,"75,40","1,30","2,10","5,00","26,10","75,40","1,30","2,10","5,00","26,10","113750,00","91,40","2,40"
791,moorpark city,CA,"75,10","1,50","0,70","6,80","31,40","75,10","1,50","0,70","6,80","31,40","99777,00","87,60","7,20"
792,morada cdp,CA,"74,40","1,20","0,70","10,80","17,70","74,40","1,20","0,70","10,80","17,70","105658,00","87,50","3,30"
793,moraga town,CA,"76,20","1,70","0,20","14,90","7,00","76,20","1,70","0,20","14,90","7,00","137436,00","98,50","5,00"
794,moreno valley city,CA,"41,90","18,00","0,90","6,10","54,40","41,90","18,00","0,90","6,10","54,40","54590,00","75,20","19,30"
795,morgan hill city,CA,"65,20","2,00","0,90","10,20","34,00","65,20","2,00","0,90","10,20","34,00","96051,00","88,90","9,80"
796,morongo valley cdp,CA,"86,60","1,10","2,10","0,90","14,90","86,60","1,10","2,10","0,90","14,90","34276,00","80,90","15,40"
797,morro bay city,CA,"87,10","0,40","0,90","2,50","14,90","87,10","0,40","0,90","2,50","14,90","51338,00","91,20","12,90"
798,moskowite corner cdp,CA,"86,70","0,50","6,60","0,50","11,80","86,70","0,50","6,60","0,50","11,80","52750,00","91,30","13,40"
799,moss beach cdp,CA,"73,50","0,80","1,40","3,80","29,10","73,50","0,80","1,40","3,80","29,10","91441,00","87,00","5,10"
800,moss landing cdp,CA,"73,00","3,40","0,50","1,00","22,50","73,00","3,40","0,50","1,00","22,50","31500,00","82,80","19,00"
801,mountain gate cdp,CA,"90,10","0,70","2,90","0,50","5,20","90,10","0,70","2,90","0,50","5,20","32337,00","87,20","23,40"
802,mountain house cdp,CA,"35,80","9,30","0,50","39,60","16,90","35,80","9,30","0,50","39,60","16,90","106976,00","93,20","5,80"
803,mountain mesa cdp,CA,"88,40","0,90","2,10","0,80","9,90","88,40","0,90","2,10","0,80","9,90","24028,00","83,60","67,10"
804,mountain ranch cdp,CA,"90,40","0,90","2,00","1,10","7,60","90,40","0,90","2,00","1,10","7,60","36994,00","96,50","18,90"
805,mountain view cdp,CA,"79,90","2,50","1,30","3,00","22,10","79,90","2,50","1,30","3,00","22,10","49867,00","84,60","21,90"
806,mountain view city,CA,"56,00","2,20","0,50","26,00","21,70","56,00","2,20","0,50","26,00","21,70","103488,00","93,10","7,80"
807,mountain view acres cdp,CA,"55,80","6,90","1,50","3,10","52,60","55,80","6,90","1,50","3,10","52,60","55620,00","73,50","22,20"
808,mount hebron cdp,CA,"76,80","0,00","1,10","0,00","43,20","76,80","0,00","1,10","0,00","43,20","20000,00","70,00","5,10"
809,mount hermon cdp,CA,"93,00","0,60","0,30","1,40","8,00","93,00","0,60","0,30","1,40","8,00","74000,00","100,00","9,20"
810,mount shasta city,CA,"89,60","1,80","0,60","1,60","8,20","89,60","1,80","0,60","1,60","8,20","39777,00","92,70","23,30"
811,muir beach cdp,CA,"91,30","1,60","0,30","3,90","2,30","91,30","1,60","0,30","3,90","2,30","135278,00","100,00","0,00"
812,murphys cdp,CA,"92,40","0,40","0,80","0,30","10,10","92,40","0,40","0,80","0,30","10,10","45330,00","96,50","12,50"
813,murrieta city,CA,"69,70","5,40","0,70","9,20","25,90","69,70","5,40","0,70","9,20","25,90","74610,00","92,20","8,40"
814,muscoy cdp,CA,"41,90","4,30","1,20","0,90","82,90","41,90","4,30","1,20","0,90","82,90","36108,00","44,90","33,50"
815,myrtletown cdp,CA,"84,90","1,10","3,00","3,30","8,30","84,90","1,10","3,00","3,30","8,30","62385,00","92,40","9,80"
816,napa city,CA,"75,10","0,60","0,80","2,30","37,60","75,10","0,60","0,80","2,30","37,60","68038,00","80,90","9,50"
817,national city city,CA,"42,20","5,20","1,10","18,30","63,00","42,20","5,20","1,10","18,30","63,00","41437,00","72,30","24,50"
818,needles city,CA,"75,70","2,00","8,20","0,70","22,40","75,70","2,00","8,20","0,70","22,40","30443,00","82,10","27,70"
819,nevada city city,CA,"92,50","0,80","0,90","1,50","6,70","92,50","0,80","0,90","1,50","6,70","47981,00","96,60","13,70"
820,newark city,CA,"41,30","4,70","0,70","27,20","35,20","41,30","4,70","0,70","27,20","35,20","86757,00","87,70","7,90"
821,newcastle cdp,CA,"90,90","0,60","1,60","1,40","8,50","90,90","0,60","1,60","1,40","8,50","48438,00","94,90","13,70"
822,new cuyama cdp,CA,"80,90","0,60","2,70","0,60","45,30","80,90","0,60","2,70","0,60","45,30","40125,00","73,30","31,90"
823,newman city,CA,"66,60","2,30","1,00","1,90","61,60","66,60","2,30","1,00","1,90","61,60","50225,00","76,00","19,80"
824,new pine creek cdp,CA,"90,80","0,00","0,00","0,00","4,10","90,80","0,00","0,00","0,00","4,10","25750,00","63,60","36,40"
825,newport beach city,CA,"87,30","0,70","0,30","7,00","7,20","87,30","0,70","0,30","7,00","7,20","113071,00","97,70","7,10"
826,nicasio cdp,CA,"97,90","2,10","0,00","0,00","7,30","97,90","2,10","0,00","0,00","7,30","72083,00","85,70","0,00"
827,nice cdp,CA,"80,10","2,40","5,80","1,50","14,10","80,10","2,40","5,80","1,50","14,10","28813,00","81,00","27,00"
828,nicolaus cdp,CA,"88,20","0,50","0,00","2,40","6,20","88,20","0,50","0,00","2,40","6,20","71667,00","93,50","5,70"
829,niland cdp,CA,"53,60","3,60","2,00","3,60","61,40","53,60","3,60","2,00","3,60","61,40","19653,00","44,40","34,30"
830,nipinnawasee cdp,CA,"88,80","0,40","1,90","0,00","10,50","88,80","0,40","1,90","0,00","10,50","65389,00","94,90","16,10"
831,nipomo cdp,CA,"73,50","1,10","1,20","2,50","39,80","73,50","1,10","1,20","2,50","39,80","60348,00","84,70","12,00"
832,norco city,CA,"76,30","7,00","0,90","3,10","31,10","76,30","7,00","0,90","3,10","31,10","88051,00","82,50","7,00"
833,north auburn cdp,CA,"85,10","0,90","1,30","2,30","16,20","85,10","0,90","1,30","2,30","16,20","52305,00","87,50","13,60"
834,north edwards cdp,CA,"80,10","4,10","2,50","1,90","16,90","80,10","4,10","2,50","1,90","16,90","44531,00","77,50","34,00"
