geographic_area,city,share_white_x,share_black_x,share_native_american_x,share_asian_x,share_hispanic_x,share_white_y,share_black_y,share_native_american_y,share_asian_y,share_hispanic_y,median_income,percent_completed_hs,poverty_rate
PA,kapp heights cdp,93.6,2.8,0.2,0.7,1.9,93.6,2.8,0.2,0.7,1.9,55426.0,78.8,10.2
PA,karns city borough,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,32083.0,86.8,29.9
PA,kelayres cdp,96.8,0.2,0.0,0.6,4.9,96.8,0.2,0.0,0.6,4.9,39961.0,86.8,7.3
PA,kempton cdp,96.4,0.6,0.0,0.0,3.0,96.4,0.6,0.0,0.0,3.0,56250.0,90.4,6.8
PA,kenhorst borough,89.0,4.3,0.0,1.4,9.6,89.0,4.3,0.0,1.4,9.6,60128.0,91.4,13.9
PA,kenilworth cdp,93.6,2.8,0.3,1.3,2.5,93.6,2.8,0.3,1.3,2.5,80313.0,93.4,2.9
PA,kenmar cdp,90.4,5.1,0.1,1.3,1.8,90.4,5.1,0.1,1.3,1.8,33514.0,89.6,27.5
PA,kennerdell cdp,98.0,0.0,0.0,0.8,0.0,98.0,0.0,0.0,0.8,0.0,36875.0,87.7,2.8
PA,kennett square borough,65.7,7.2,0.4,0.8,48.8,65.7,7.2,0.4,0.8,48.8,61892.0,59.0,12.0
PA,kersey cdp,99.5,0.0,0.2,0.0,0.5,99.5,0.0,0.2,0.0,0.5,51953.0,88.9,2.9
PA,king of prussia cdp,71.8,5.7,0.3,18.6,4.2,71.8,5.7,0.3,18.6,4.2,73502.0,94.7,6.9
PA,kingston borough,91.8,3.2,0.1,2.4,3.2,91.8,3.2,0.1,2.4,3.2,47904.0,92.6,14.1
PA,kirkwood cdp,98.2,0.0,0.3,0.0,4.3,98.2,0.0,0.3,0.0,4.3,42500.0,49.7,24.1
PA,kistler borough,94.1,2.2,0.6,0.3,4.1,94.1,2.2,0.6,0.3,4.1,38611.0,83.5,19.2
PA,kittanning borough,97.0,0.9,0.1,0.4,0.9,97.0,0.9,0.1,0.4,0.9,30899.0,83.5,22.6
PA,klingerstown cdp,98.4,0.0,0.0,0.0,0.0,98.4,0.0,0.0,0.0,0.0,45208.0,81.3,0.0
PA,knox borough,98.2,0.4,0.1,0.7,0.5,98.2,0.4,0.1,0.7,0.5,45556.0,89.2,13.5
PA,knoxville borough,98.7,0.0,0.0,0.2,0.0,98.7,0.0,0.0,0.2,0.0,43750.0,84.8,14.4
PA,koppel borough,96.1,2.1,0.0,0.3,1.7,96.1,2.1,0.0,0.3,1.7,39766.0,93.3,9.4
PA,kratzerville cdp,98.7,0.3,0.0,0.0,0.3,98.7,0.3,0.0,0.0,0.3,56667.0,91.2,5.4
PA,kreamer cdp,98.3,0.7,0.2,0.0,0.0,98.3,0.7,0.2,0.0,0.0,49702.0,86.9,11.5
